DATE,AZNGSP
1997-01-01,132694.8
1998-01-01,144393.2
1999-01-01,156442.1
2000-01-01,165735.6
2001-01-01,172899.6
2002-01-01,180844.5
2003-01-01,194318.0
2004-01-01,207246.3
2005-01-01,227997.8
2006-01-01,246061.1
2007-01-01,261152.8
2008-01-01,261005.8
2009-01-01,244862.2
2010-01-01,250527.0
2011-01-01,261691.4
2012-01-01,272703.3
2013-01-01,278679.5
2014-01-01,286676.0
2015-01-01,298942.2
2016-01-01,313787.1
2017-01-01,333099.0
2018-01-01,353671.0
2019-01-01,375545.0
2020-01-01,386443.5
2021-01-01,432279.8
2022-01-01,475653.7
2023-01-01,508344.5
