DATE,CONGSP
1997-01-01,136624.4
1998-01-01,149653.7
1999-01-01,162411.7
2000-01-01,179303.3
2001-01-01,185848.9
2002-01-01,189604.6
2003-01-01,195137.6
2004-01-01,203743.3
2005-01-01,220803.8
2006-01-01,232853.6
2007-01-01,248571.6
2008-01-01,257606.1
2009-01-01,249817.1
2010-01-01,256771.8
2011-01-01,266114.1
2012-01-01,274738.8
2013-01-01,291265.3
2014-01-01,309223.9
2015-01-01,320895.9
2016-01-01,330565.9
2017-01-01,350209.1
2018-01-01,373923.1
2019-01-01,397701.6
2020-01-01,397612.2
2021-01-01,447051.7
2022-01-01,491289.0
2023-01-01,520389.0
