DATE,CTNGSP
1997-01-01,138467.0
1998-01-01,145299.2
1999-01-01,152093.7
2000-01-01,165523.4
2001-01-01,171124.4
2002-01-01,172929.7
2003-01-01,177814.8
2004-01-01,194722.9
2005-01-01,204504.6
2006-01-01,219812.2
2007-01-01,232626.8
2008-01-01,236110.7
2009-01-01,231628.0
2010-01-01,234022.2
2011-01-01,233058.7
2012-01-01,239907.5
2013-01-01,240549.2
2014-01-01,247114.7
2015-01-01,260648.5
2016-01-01,264760.4
2017-01-01,273875.1
2018-01-01,280535.4
2019-01-01,285466.4
2020-01-01,275801.9
2021-01-01,295907.5
2022-01-01,319344.8
2023-01-01,340181.3
