DATE,DENGSP
1997-01-01,33302.2
1998-01-01,37170.6
1999-01-01,40446.5
2000-01-01,43559.6
2001-01-01,46373.8
2002-01-01,45865.4
2003-01-01,47839.6
2004-01-01,51674.1
2005-01-01,52048.6
2006-01-01,55567.7
2007-01-01,56705.6
2008-01-01,55250.8
2009-01-01,57729.9
2010-01-01,58132.2
2011-01-01,61379.4
2012-01-01,62342.1
2013-01-01,62058.2
2014-01-01,68606.0
2015-01-01,72352.5
2016-01-01,70021.5
2017-01-01,69555.6
2018-01-01,73376.0
2019-01-01,78685.8
2020-01-01,77615.1
2021-01-01,82952.8
2022-01-01,90208.3
2023-01-01,93595.1
