DATE,IANGSP
1997-01-01,82808.8
1998-01-01,84629.7
1999-01-01,87774.3
2000-01-01,93125.6
2001-01-01,94922.6
2002-01-01,98669.4
2003-01-01,105329.7
2004-01-01,117149.8
2005-01-01,122866.1
2006-01-01,127670.8
2007-01-01,137590.2
2008-01-01,137749.2
2009-01-01,137094.3
2010-01-01,142497.7
2011-01-01,149026.1
2012-01-01,158553.1
2013-01-01,162415.0
2014-01-01,173734.2
2015-01-01,181471.7
2016-01-01,183834.8
2017-01-01,187125.0
2018-01-01,193155.1
2019-01-01,196085.1
2020-01-01,199447.0
2021-01-01,220818.2
2022-01-01,238342.3
2023-01-01,248922.5
