DATE,INNGSP
1997-01-01,170924.6
1998-01-01,185336.3
1999-01-01,193659.9
2000-01-01,204147.3
2001-01-01,205325.1
2002-01-01,213419.6
2003-01-01,225349.3
2004-01-01,239278.5
2005-01-01,247428.3
2006-01-01,259030.3
2007-01-01,273340.8
2008-01-01,277774.5
2009-01-01,264925.0
2010-01-01,284685.8
2011-01-01,292373.8
2012-01-01,301277.4
2013-01-01,313466.9
2014-01-01,329360.9
2015-01-01,333163.8
2016-01-01,342716.6
2017-01-01,357535.8
2018-01-01,377376.9
2019-01-01,385446.2
2020-01-01,377901.1
2021-01-01,422951.9
2022-01-01,470323.6
2023-01-01,497035.5
