DATE,LANGSP
1997-01-01,116423.1
1998-01-01,120228.8
1999-01-01,125667.3
2000-01-01,132375.8
2001-01-01,138204.3
2002-01-01,140082.8
2003-01-01,155198.7
2004-01-01,170999.6
2005-01-01,199314.2
2006-01-01,207249.8
2007-01-01,203771.3
2008-01-01,213803.5
2009-01-01,206111.5
2010-01-01,226555.6
2011-01-01,230518.7
2012-01-01,235960.9
2013-01-01,231652.7
2014-01-01,240965.0
2015-01-01,234324.2
2016-01-01,227440.3
2017-01-01,239830.7
2018-01-01,256444.4
2019-01-01,257096.7
2020-01-01,236135.9
2021-01-01,263162.7
2022-01-01,291951.9
2023-01-01,309600.6
