DATE,MENGSP
1997-01-01,30574.2
1998-01-01,32412.8
1999-01-01,34714.7
2000-01-01,37222.0
2001-01-01,38925.7
2002-01-01,40664.1
2003-01-01,42493.4
2004-01-01,45233.1
2005-01-01,47028.1
2006-01-01,48889.3
2007-01-01,50291.3
2008-01-01,51001.9
2009-01-01,51451.2
2010-01-01,52802.5
2011-01-01,53104.5
2012-01-01,54018.5
2013-01-01,54924.8
2014-01-01,56537.4
2015-01-01,58755.8
2016-01-01,61092.2
2017-01-01,63000.6
2018-01-01,66216.0
2019-01-01,69298.2
2020-01-01,72091.6
2021-01-01,78918.4
2022-01-01,85801.2
2023-01-01,91081.3
