DATE,MONGSP
1997-01-01,163101.1
1998-01-01,170122.2
1999-01-01,178215.9
2000-01-01,187012.8
2001-01-01,190388.7
2002-01-01,197399.0
2003-01-01,206005.2
2004-01-01,216977.5
2005-01-01,227594.6
2006-01-01,235816.9
2007-01-01,244085.3
2008-01-01,256431.1
2009-01-01,254306.2
2010-01-01,262013.4
2011-01-01,263330.0
2012-01-01,272482.4
2013-01-01,282659.7
2014-01-01,289340.7
2015-01-01,299597.7
2016-01-01,304143.3
2017-01-01,311273.8
2018-01-01,320451.6
2019-01-01,334364.7
2020-01-01,335278.3
2021-01-01,365145.4
2022-01-01,396889.9
2023-01-01,422305.6
