DATE,NDNGSP
1997-01-01,15796.6
1998-01-01,16842.7
1999-01-01,17083.7
2000-01-01,18115.1
2001-01-01,18976.9
2002-01-01,20195.6
2003-01-01,22129.9
2004-01-01,23209.6
2005-01-01,24572.0
2006-01-01,26406.5
2007-01-01,29044.6
2008-01-01,32027.7
2009-01-01,32310.4
2010-01-01,35651.8
2011-01-01,41602.1
2012-01-01,52079.1
2013-01-01,54877.0
2014-01-01,61108.3
2015-01-01,56952.2
2016-01-01,52666.3
2017-01-01,56530.2
2018-01-01,60377.1
2019-01-01,60516.3
2020-01-01,55347.6
2021-01-01,63208.6
2022-01-01,72651.3
2023-01-01,74112.5
