DATE,NENGSP
1997-01-01,49880.0
1998-01-01,51849.9
1999-01-01,53714.2
2000-01-01,56582.7
2001-01-01,59634.3
2002-01-01,61569.5
2003-01-01,66471.7
2004-01-01,70445.4
2005-01-01,74886.7
2006-01-01,79287.5
2007-01-01,84291.9
2008-01-01,86146.6
2009-01-01,87325.5
2010-01-01,91940.7
2011-01-01,100526.5
2012-01-01,102949.7
2013-01-01,107247.0
2014-01-01,112763.3
2015-01-01,117402.3
2016-01-01,119389.8
2017-01-01,123219.9
2018-01-01,127954.4
2019-01-01,132741.0
2020-01-01,135285.0
2021-01-01,149360.3
2022-01-01,164933.9
2023-01-01,178420.8
