DATE,NVNGSP
1997-01-01,60255.0
1998-01-01,65332.2
1999-01-01,71825.3
2000-01-01,77181.5
2001-01-01,80968.6
2002-01-01,85541.0
2003-01-01,91365.0
2004-01-01,104132.0
2005-01-01,117165.1
2006-01-01,126613.4
2007-01-01,132045.4
2008-01-01,130570.9
2009-01-01,122471.2
2010-01-01,125149.0
2011-01-01,128638.4
2012-01-01,130238.2
2013-01-01,133592.5
2014-01-01,136918.4
2015-01-01,145786.8
2016-01-01,153318.0
2017-01-01,163199.1
2018-01-01,172547.9
2019-01-01,184343.9
2020-01-01,175982.0
2021-01-01,200127.3
2022-01-01,222938.6
2023-01-01,239397.6
