DATE,PANGSP
1997-01-01,357525.6
1998-01-01,373515.0
1999-01-01,391136.1
2000-01-01,409330.2
2001-01-01,428463.7
2002-01-01,440887.5
2003-01-01,460478.3
2004-01-01,486384.5
2005-01-01,510763.9
2006-01-01,528771.2
2007-01-01,563238.6
2008-01-01,586886.6
2009-01-01,581219.9
2010-01-01,604629.6
2011-01-01,623767.9
2012-01-01,646434.3
2013-01-01,670767.4
2014-01-01,695546.6
2015-01-01,716534.3
2016-01-01,733165.9
2017-01-01,754318.0
2018-01-01,780620.7
2019-01-01,803078.0
2020-01-01,777427.1
2021-01-01,844391.6
2022-01-01,911813.3
2023-01-01,965066.8
