DATE,RINGSP
1997-01-01,28963.2
1998-01-01,30835.3
1999-01-01,32340.0
2000-01-01,34608.5
2001-01-01,35940.1
2002-01-01,37891.2
2003-01-01,39787.1
2004-01-01,42578.2
2005-01-01,44413.3
2006-01-01,47165.3
2007-01-01,47490.1
2008-01-01,47138.9
2009-01-01,47647.2
2010-01-01,49409.1
2011-01-01,50123.7
2012-01-01,51527.5
2013-01-01,52994.2
2014-01-01,54612.5
2015-01-01,56604.0
2016-01-01,57714.6
2017-01-01,58771.6
2018-01-01,60064.9
2019-01-01,62526.9
2020-01-01,62054.2
2021-01-01,67236.7
2022-01-01,72771.4
2023-01-01,77322.2
