DATE,TNNGSP
1997-01-01,154861.9
1998-01-01,167783.0
1999-01-01,176467.2
2000-01-01,182209.7
2001-01-01,185917.2
2002-01-01,195386.1
2003-01-01,204665.9
2004-01-01,219862.4
2005-01-01,231339.0
2006-01-01,243104.4
2007-01-01,248261.6
2008-01-01,255546.7
2009-01-01,252940.7
2010-01-01,258657.6
2011-01-01,270055.0
2012-01-01,285897.5
2013-01-01,296756.3
2014-01-01,307448.5
2015-01-01,326382.5
2016-01-01,339350.2
2017-01-01,355417.5
2018-01-01,369713.2
2019-01-01,385819.5
2020-01-01,390172.6
2021-01-01,438180.0
2022-01-01,485657.5
2023-01-01,523239.8
