DATE,UTNGSP
1997-01-01,57812.0
1998-01-01,62070.1
1999-01-01,65773.4
2000-01-01,70056.3
2001-01-01,73042.5
2002-01-01,76289.4
2003-01-01,79504.7
2004-01-01,86766.7
2005-01-01,95512.0
2006-01-01,106787.1
2007-01-01,115180.7
2008-01-01,116949.2
2009-01-01,113834.8
2010-01-01,118296.3
2011-01-01,125137.8
2012-01-01,129431.4
2013-01-01,135344.3
2014-01-01,142627.7
2015-01-01,149762.1
2016-01-01,159330.6
2017-01-01,172075.0
2018-01-01,186805.7
2019-01-01,201285.4
2020-01-01,205666.3
2021-01-01,232125.1
2022-01-01,256369.9
2023-01-01,272585.7
