DATE,VTNGSP
1997-01-01,15443.4
1998-01-01,16197.7
1999-01-01,17314.8
2000-01-01,18492.9
2001-01-01,19467.1
2002-01-01,20383.5
2003-01-01,21398.5
2004-01-01,22986.3
2005-01-01,23763.0
2006-01-01,24507.1
2007-01-01,25025.2
2008-01-01,26140.4
2009-01-01,26220.0
2010-01-01,27478.3
2011-01-01,28558.5
2012-01-01,29325.6
2013-01-01,29477.6
2014-01-01,30359.4
2015-01-01,31152.4
2016-01-01,31840.2
2017-01-01,32589.2
2018-01-01,33482.6
2019-01-01,34628.1
2020-01-01,34470.8
2021-01-01,37593.5
2022-01-01,40830.8
2023-01-01,43129.6
