DATE,WVNGSP
1997-01-01,38781.2
1998-01-01,40258.9
1999-01-01,41942.2
2000-01-01,42620.7
2001-01-01,44105.1
2002-01-01,45627.4
2003-01-01,47230.4
2004-01-01,49865.9
2005-01-01,53814.3
2006-01-01,57204.1
2007-01-01,59480.4
2008-01-01,62978.7
2009-01-01,64040.1
2010-01-01,66160.4
2011-01-01,69367.6
2012-01-01,70303.1
2013-01-01,71758.6
2014-01-01,73042.6
2015-01-01,71713.4
2016-01-01,71248.9
2017-01-01,75172.4
2018-01-01,79794.3
2019-01-01,79883.8
2020-01-01,76975.9
2021-01-01,86509.9
2022-01-01,97417.3
2023-01-01,99510.6
